Dataset,Model,Accuracy,Precision,Recall,F1,Accuracy_Std,Precision_Std,Recall_Std,F1_Std,Runtime_Sec,MAE,RMSE,R2,MAE_Std,RMSE_Std,R2_Std
Breast Cancer,Decision Tree,0.9104021114733737,0.91106532949491,0.9104021114733737,0.9096714952845628,0.031165823929777906,0.03115456190238317,0.031165823929777906,0.03231267517873433,1.572318421000091,,,,,,
Breast Cancer,Logistic Regression,0.9736686849868033,0.9749783257374247,0.9736686849868033,0.9734180089264359,0.01858979957686633,0.01701112618356319,0.01858979957686633,0.01895857376098426,1.572318421000091,,,,,,
Breast Cancer,Random Forest,0.9543238627542306,0.9564871246976321,0.9543238627542306,0.9541952413708256,0.011366375671823341,0.010089585847023408,0.011366375671823341,0.011556900705872697,1.572318421000091,,,,,,
Wine,Decision Tree,0.8874603174603175,0.8950424637091304,0.8874603174603175,0.8868294794204589,0.03551265836298439,0.037859325469947226,0.03551265836298439,0.0352316883095343,1.507619343999977,,,,,,
Wine,Logistic Regression,0.9888888888888889,0.98989898989899,0.9888888888888889,0.9889476778365667,0.015214515486254588,0.013831377714776862,0.015214515486254588,0.015134015404316761,1.507619343999977,,,,,,
Wine,Random Forest,0.9774603174603176,0.9784704184704186,0.9774603174603176,0.9775191064079953,0.023813491732859342,0.023574731077540104,0.023813491732859342,0.02379745813121525,1.507619343999977,,,,,,
Diabetes,Decision Tree,,,,,,,,,1.0580869610002992,60.75116142864713,77.09533283152766,-0.022848760585340668,6.9034791245191816,8.779976694966866,0.19143149917022811
Diabetes,Linear Regression,,,,,,,,,1.0580869610002992,44.269746335379594,54.84894090589967,0.47847030225778486,2.9154773252096837,2.9528324936401247,0.09499651856807823
Diabetes,Random Forest,,,,,,,,,1.0580869610002992,46.75052898365679,57.55289256873524,0.427368525681832,3.655707330987439,3.8429042571868726,0.10356119841821987
